,time,mass_diff,one_sigma
0,2002.29,0.0,110.39
1,2002.35,12.45,66.04
2,2002.62,-242.15,52.74
3,2002.71,-267.75,63.34
4,2002.79,-279.02,39.55
5,2002.87,-245.23,36.89
6,2002.96,-183.43,38.74
7,2003.04,-161.19,41.35
8,2003.12,-168.24,32.95
9,2003.2,-77.21,29.25
10,2003.29,-24.22,28.8
11,2003.36,2.3,30.61
12,2003.54,-193.9,22.43
13,2003.62,-359.62,23.27
14,2003.71,-414.59,23.74
15,2003.79,-395.39,23.89
16,2003.87,-353.86,23.43
17,2003.96,-361.43,23.26
18,2004.02,-385.27,27.19
19,2004.13,-370.66,23.32
20,2004.21,-342.18,21.98
21,2004.29,-248.43,22.01
22,2004.37,-268.87,22.03
23,2004.46,-324.37,22.18
24,2004.54,-407.6,19.96
25,2004.62,-541.25,20.59
26,2004.71,-537.17,21.66
27,2004.79,-613.27,19.5
28,2004.87,-561.51,20.99
29,2004.96,-570.3,20.57
30,2005.04,-563.17,19.57
31,2005.12,-469.46,20.67
32,2005.2,-420.7,20.8
33,2005.29,-402.05,20.74
34,2005.37,-426.91,21.06
35,2005.46,-464.87,21.5
36,2005.54,-583.64,20.92
37,2005.62,-759.14,20.47
38,2005.71,-843.78,20.47
39,2005.79,-895.52,20.24
40,2005.87,-882.62,19.71
41,2005.96,-758.11,24.38
42,2006.04,-755.96,20.97
43,2006.12,-689.58,21.08
44,2006.2,-658.57,20.6
45,2006.29,-723.77,21.16
46,2006.37,-713.92,21.06
47,2006.45,-672.94,22.76
48,2006.54,-776.35,22.32
49,2006.62,-928.6,21.2
50,2006.71,-1032.68,22.39
51,2006.79,-1006.08,22.31
52,2006.87,-982.55,22.08
53,2006.96,-971.22,22.71
54,2007.04,-933.32,23.46
55,2007.12,-923.33,22.73
56,2007.2,-933.57,22.25
57,2007.29,-901.99,22.76
58,2007.37,-881.61,22.38
59,2007.45,-887.93,22.94
60,2007.54,-1085.25,22.39
61,2007.62,-1303.85,24.27
62,2007.71,-1363.63,22.98
63,2007.79,-1330.21,23.73
64,2007.87,-1326.21,24.45
65,2007.96,-1268.57,22.67
66,2008.04,-1260.81,22.77
67,2008.12,-1238.36,24.08
68,2008.21,-1158.98,22.66
69,2008.29,-1178.25,24.75
70,2008.37,-1257.25,23.61
71,2008.46,-1253.88,23.21
72,2008.54,-1399.42,24.09
73,2008.62,-1562.86,23.71
74,2008.71,-1587.65,23.38
75,2008.79,-1596.3,22.89
76,2008.87,-1522.35,23.81
77,2008.96,-1482.63,23.15
78,2009.04,-1419.39,23.25
79,2009.12,-1402.26,24.04
80,2009.2,-1466.52,23.21
81,2009.29,-1485.14,21.72
82,2009.37,-1470.63,22.13
83,2009.46,-1410.45,22.42
84,2009.54,-1486.2,23.48
85,2009.62,-1667.48,22.35
86,2009.71,-1805.67,20.68
87,2009.79,-1784.44,21.21
88,2009.87,-1782.26,20.78
89,2009.96,-1672.52,20.62
90,2010.04,-1709.8,20.28
91,2010.12,-1714.2,20.06
92,2010.2,-1667.05,21.75
93,2010.29,-1694.42,19.84
94,2010.37,-1665.81,20.61
95,2010.45,-1726.45,25.01
96,2010.54,-1943.24,22.1
97,2010.62,-2160.86,20.64
98,2010.71,-2304.3,21.62
99,2010.79,-2248.91,23.25
100,2010.87,-2244.14,24.55
101,2010.96,-2185.84,25.37
102,2011.13,-2197.21,27.99
103,2011.2,-2150.45,25.87
104,2011.29,-2137.58,25.21
105,2011.37,-2137.45,25.0
106,2011.55,-2381.23,26.99
107,2011.62,-2564.53,25.11
108,2011.71,-2644.92,23.68
109,2011.79,-2612.9,22.92
110,2011.83,-2680.97,23.7
111,2012.0,-2655.03,23.69
112,2012.04,-2641.33,22.71
113,2012.12,-2605.13,24.54
114,2012.21,-2515.69,23.07
115,2012.27,-2475.49,28.52
116,2012.46,-2555.96,24.89
117,2012.54,-2793.04,23.51
118,2012.62,-3074.68,22.89
119,2012.7,-3167.79,25.54
120,2012.89,-3140.77,26.98
121,2012.96,-3109.81,24.7
122,2013.04,-3091.95,23.97
123,2013.12,-3039.71,25.67
124,2013.3,-3072.09,26.01
125,2013.37,-3038.82,22.78
126,2013.46,-3009.01,23.43
127,2013.54,-3135.89,23.13
128,2013.79,-3230.79,24.17
129,2013.87,-3169.14,23.55
130,2013.96,-3182.23,22.89
131,2014.02,-3153.21,27.53
132,2014.21,-3127.82,19.63
133,2014.29,-3113.88,20.19
134,2014.37,-3095.45,20.62
135,2014.45,-3129.85,22.58
136,2014.62,-3450.87,21.07
137,2014.71,-3496.94,19.96
138,2014.79,-3445.04,19.07
139,2014.88,-3411.7,18.97
140,2015.06,-3349.23,21.43
141,2015.12,-3277.42,25.12
142,2015.2,-3266.66,15.67
143,2015.29,-3267.48,16.89
144,2015.32,-3277.76,18.56
145,2015.53,-3477.87,20.13
146,2015.62,-3638.66,19.11
147,2015.7,-3616.15,20.63
148,2015.97,-3610.98,20.99
149,2016.04,-3583.42,19.13
150,2016.12,-3555.02,17.77
151,2016.21,-3548.29,19.32
152,2016.38,-3495.83,22.32
153,2016.46,-3524.89,22.95
154,2016.54,-3695.07,25.02
155,2016.64,-3910.05,32.95
156,2016.91,-3808.11,52.82
157,2016.98,-3803.68,56.02
158,2017.06,-3787.31,60.47
159,2017.25,-3765.32,70.15
160,2017.31,-3830.9,81.35
161,2017.36,-3776.93,89.24
162,2017.44,-3771.02,97.85
